timestamp,speaker,words,tags
[00:00:00],Mansi," So, just to get started with, if you can tell us something about your background and your journey so far in STEM field. Okay.",
[00:00:07],Professor Jing Wang," So I finished my PhD outside the us. I finished it in China, and then I came to the US as a postdoc. First at Duke University and then in the University of Michigan.",Education
[00:00:20],Professor Jing Wang," And then I came here as an assistant professor in 2022. So I, my background is about medical engineering and then I like, like cancer study. And then I'm interested in this biology thing and I also want to create something that I use for and has translational value. That's why I choose this major.",Education
[00:00:44],Professor Jing Wang,And then I found Iowa State University have a plan to start. Its like B m E department. And that's a great opportunity for B M E engineers. That's why I end up here. Yeah.,Education
[00:01:00],Mansi," Okay, so b m E engineers is biomedical engineers, if I'm not",Education
[00:01:04],Professor Jing Wang," wrong, right? Yeah, biomedical",
[00:01:05],Mansi," engineering. Okay. Okay, great. So as you know more about your background also if you would like to share something about being a Asian women faculty in STEM field or STEM area overall throughout your journey were there any challenges that you faced?",
[00:01:22],Professor Jing Wang," Your, yeah, for female scientists, there are always a lot of like more family responsibility, I would say. For example, like myself, I have a, a six year old boy, and then of course my husband is also a faculty, but Most of time, I would say like women have to take more like responsibility or more job to take care of the family, the kids, and then the parents.",Women in STEM
[00:01:51],Professor Jing Wang," That's why I just find sometimes this this family work balance seems more, seems like a more important topic for female, especially those female who also work. Yeah, I think that's that's the. Big challenge for the famous female scientist here. But fortunately there's a lot of like policies or, or some other benefits that may can help this female scientists to address this difficulties.",Women in STEM
[00:02:23],Professor Jing Wang," So we really appreciate that. So I have seen a lot of like successful female scientists or faculties in this field. So I don't think that will be like a big barrier for us. To establish a, a successful career here. But yes, of course, there's a lot of challenges. And then especially when you start collaboration, you will find it's still like a lot of like male scientists in this field.",Women in STEM
[00:02:54],Professor Jing Wang," But the N I H N SS F also encourage more like collaboration with women, with minorities. So I think. I would say in B m E field, like it's quite common to see a lot of like female faculties here. So those are really some of them did very well. I think those they are my role models.",Women in STEM
[00:03:20],Professor Jing Wang,Okay.,
[00:03:21],Mansi," Yeah. That's, that's good to know. That's really good to know. So while you talked about how you came into this field and but were there any motivation behind you choosing this area?",
[00:03:33],Professor Jing Wang," So my current research area is more like immunotherapy. Not just for cancer, but most of the part is for cancer therapy.",Research; Motivation
[00:03:41],Professor Jing Wang," Before that my focus is more like nanotechnology and drug delivery for chemotherapy. It's also about cancer, but it's more like a traditional therapy method. So I would say I slightly changed the focus because My family members had like cancer a couple of years ago, and I just realized like there's a lot of, we are urgently, I mean, in clinic it's a, there's a urgent need of new therapy rather than there's traditional in traditional chemotherapy or radiotherapy.",Research; Motivation
[00:04:21],Professor Jing Wang," Something like that because a lot of patients chemotherapy is not suitable for them. Chemotherapy usually is used for the patients that cannot have surgery or already have like distant metastasis, which means that the tumor has been, has migrated to other part of the body. So, and then Then I found like after my family member finish their, like, initial therapy or we can see primary therapy such as surgery.",Research; Motivation
[00:04:52],Professor Jing Wang," There's no No therapy or no supplement or no medicine that can help them to boost their damaged like immune system and then prevent the recurrence or metastasis. I mean, after they finish the primary therapy, before the diagnosis, the the potential metastasis. There's no treatment in between, no drugs, no medicine.",Research; Motivation
[00:05:20],Professor Jing Wang," There's a gap here. So, which really encouraged me to look at what can we do to like booster this their immune system, make them like be. Able to avoid the possible metastatic tumor growth. Otherwise, you're just waiting and then allowing this metastatic tumor to grow and then just use CT every year or every half year to diagnose like, oh, whether you are lucky or unlucky, but if we can give them some medicine.",Research; Motivation
[00:05:54],Professor Jing Wang," Right after the primary therapy, just like, because cancer is a chronic disease for chronic disease, you always need to like like improve your immune system to boost it to like anti-tumor and then you can avoid this like metastatic tumor growth. Hmm. I wish, like in the future, after we develop more and more drugs that can help this Patients to control their immune system.",Research; Motivation
