timestamp,speaker,words,tags
[00:00:00],Mansi," Um, hello and thank you again for joining",
[00:00:02],Professor Li," me here. Yes,",
[00:00:02],Mansi,"Um, I want, um, just to begin with, if you can tell us about your background and, uh, how did you end",
[00:00:10],Professor Li," up in this field? Sure, sure. Uh, for background, do you mean educational background? Yes. Okay. Sure, sure. Um, I did my undergraduate studies in electrical engineering, um, back in China.",Education
[00:00:24],Professor Li," Um, then I went to University of Rochester, uh, for my master's degree, also in electrical engineering. And, uh, after I graduated I switched to stats PhD, uh, in Virginia Tech. And, uh, after that I. I worked as a visiting assistant professor, uh, in the Department of the state from University of Wisconsin Medicine.",Education
[00:00:49],Professor Li," And finally I came to I S U yeah. To work, um, in the industrial engineering department. Mm-hmm.",Education
[00:00:56],Mansi," Okay. Uh, and you have been at I S U from, um, how many years now?",
[00:01:01],Professor Li," Uh, 2018. So since 2018 now. Uh, five years. Okay.",
[00:01:06],Mansi," Yeah. Yeah, that sounds good. Um, so in terms of you being, so you are currently in the Department of Industrial Engineering, you said, right?",
[00:01:15],Mansi," Yeah. So what kind of motivated you to be in this field, or even like choosing your bachelor's degree, what made you think, what was the motivation behind it? Hmm.",
[00:01:29],Professor Li," Yeah, it's mainly, uh, back in China, well, um, I would see like, like my parents, uh, consulted, uh, several people. And this thing, uh, electrical engineering is very promising.",Motivations
[00:01:43],Professor Li, Good to find a job. Okay. Yeah. It's mainly from that aspect. So I choose electrical engineering.,Motivations
[00:01:52],Mansi," Okay. Okay. No. Yeah, that's probably a lot of us who end up in a field, which is like, okay, my parents,",
[00:01:59],Professor Li," uh, and everyone around, like, it's,",
[00:02:01],Mansi," um, sometimes that is the motivation. So yeah. Thank you",
[00:02:05],Professor Li," for sharing. Oh, no problem.",
[00:02:08],Mansi," Um, so while you were in the field in terms of like when you did your bachelor's, master's mm-hmm. PhD. Were there any specific challenges because you belong to Asia or you belong to female? Because sometimes a lot of fields are dominated by, uh, males. So were there any specific challenges which you faced?",
[00:03:33],Professor Li,"I feel it's really difficult for me to do those experiments. I mean, um, though I prepared very hard still. Yeah, it takes me, I mean, I just didn't",Challenges
[00:03:44],Professor Li," it or it, it's very hard for me. I did, uh, notice the difference between gender. Um, of course there are some, you know, there are are some. Female students still, they're very good.",Challenges
[00:03:58],Professor Li," Right? Um, but that's my observation. I think, uh, on the average there are some of the things, um, like the female, I mean, male students are better. Uh, doing those and at the same time, yeah, there are some of the fields that, I guess like language, right? Some of the things, yeah. Uh, the female students I think are better, uh, on the average.",Challenges
[00:04:23],Professor Li," Okay. Yes. Okay. I think, yeah, yeah, yeah. Indeed. Uh, I remember those years. I think, uh, it was challenging. Yeah. I feel frustrated, um, because I didn't. Uh, I feel like I didn't understand those. Um, yeah.",Challenges
[00:04:41],Mansi," Well, uh, so in terms of, uh, having challenges, how did you kind of overcome that? Because you started with like, just being the first or like the only female in the cohort.",
[00:04:52],Mansi, So how did you manage everything with your studies and making sure that you do your masters and then PhD even though you had a kind of a rough start.,
[00:05:00],Professor Li," Yeah. Uh, for my first, yeah, my first semester, the cohort, I mean, I was in a, on the cohort that I was the only female student, but later, uh, I kind of changed the, A cohort.",Challenges; Women in STEM
[00:05:13],Professor Li," Yeah, I changed the cohort. Okay. Yeah. Went to like in general, uh, to the department classes. Then like, uh, there are, I mean, in that cohort there are six out of 30. Uh, female students actually. So it, it, it becomes much better. Yeah. So now I, I like my roommates. Usually we try to discuss, we try to select the same classes so that like we ca",Challenges; Women in STEM
[00:05:40],Professor Li," And discuss and, uh, um, do the homework together, et cetera. It makes things much easier. Yeah. Yeah. Totally. Yeah.",Challenges; Women in STEM
[00:05:50],Mansi," Absolutely. So in terms of, um, mm-hmm. So that brings me to, and thi uh, makes me think about, uh, representation in class. So when you teach your classes right now mm-hmm. Or when you have like your faculty meetings, do you think that you have.",
