timestamp,speaker,words,tags

[00:00:01],Mansi," Okay. So Lu, thank you for joining us today. And to just begin with, for our audience, can you share a little bit about your background, your journey in STEM field? Sure.",
[00:00:11],Dr. Lu Liu," So my name is Lu Liu. I am originally from China and I got my bachelor's and a master's degree from university of Oklahoma, both in environmental science.",Background
[00:00:22],Dr. Lu Liu," And then I moved to Maryland, worked there for a couple years and decided to, went back to school and got my PhD in civil engineering. So I graduated with a PhD degree in civil engineering in 2017, and then moved to Texas, became a postdoc at Rice University. Worked there for like two and a half, two years and a half, and then found this faculty position at Iowa State University.",Background
[00:00:44],Dr. Lu Liu," So I've been with the ISU since 2021, the fall of 2021. Okay.",Background
[00:00:50],Mansi," Okay. Thank you for sharing that. So it's been like quite like two years so far for you two or, yeah, plus years. Okay. Okay, great. So then once you got into this field, what was the motivation behind it? Why, why this particular field?",
[00:01:06],Dr. Lu Liu,Right.,
[00:01:07],Dr. Lu Liu," So I'm always I've always been very interested in environmental problems because I'm originally from China. We have a lot of environmental issues there, like air pollution, water quality, deterioration. It just really bothers me while growing up. So I wanted to do something about it while in school.",Background
[00:01:23],Dr. Lu Liu," So I, I I I, I did my bachelor's in environmental science with a and then pe master's in Environmental of Sciences. Well, but with a focus on water resources, because I'm particularly interested in water scarcity issues like droughts and also water extremes and et cetera. So that kind of got me into this field.",Education
[00:01:43],Dr. Lu Liu," So I think it started from, originally from water environmental problems in my home country.",Education; Motivation
[00:01:49],Mansi," Okay. It just reminded me recently I interviewed another faculty, Dr. Wong. I probably, you probably know her. Mm-hmm. She also talked about water justice. Mm-hmm. And I was like, okay, we, when you hear anything in stem and specific, specifically anything in engineering, you will not think More in the zone of, you know, water justice mm-hmm.",
[00:02:14],Mansi," Or something related to, so needing in life, you know, water, food. Yeah. So thank you for sharing your motivation behind it. So were there any particular barriers or challenges you faced so far? Not on this campus, but overall throughout your journey in the field and how did you navigate that?",
[00:02:35],Dr. Lu Liu," Right. So the recent challenge I've been facing is, I guess so I've been with I S U for two years and I've been teaching for two years. And what I notice is that teaching to other graduate students and teaching to graduate students are very different. So the way the students perceive me are. I think very dependent on my identity.",Education; Challenges
[00:02:57],Dr. Lu Liu," So I think I have the worst three combinations being Asian and female and young. So that doesn't look good to our undergrads in engineering. So I, I am I. I can, I can feel that they treated me differently to other to my male colleagues who are older and senior and probably white, you know? So that's a challenge I've been facing and I, I still don't know how to resolve it though, but I think time will fix that problem.",Education; Challenges
[00:03:23],Mansi," Yeah, I guess students should be more excited to have someone young to kind of be more relatable and like ask more questions. Yeah. I don't know. Like that is how I perceived the whole time I was studying because I was like, oh, if that is a young professor, There are certain issues which are faced by both of the generations, right?",
[00:03:45],Mansi,Yeah. You would think,
[00:03:46],Dr. Lu Liu," so, right? Yeah. Yeah. Yes. But I guess engineering, especially like civil engineering is a very, very traditional type of study. So yeah, a lot of people came in with while growing up, but they were taught by, you know, white male and they, they haven't seen many faces like this, so, and they're kind of skeptical.",Education
[00:04:04],Dr. Lu Liu,Mm.,
[00:04:05],Mansi," Yeah. But we we appreciate you coming here and talking to us about your experience. And we, I just hope that we see more faces and more young faces around the campus like yours and which just makes other people feel more better. Oh,",
[00:04:20],Dr. Lu Liu,I appreciate that. Yeah.,
[00:04:22],Mansi," So in terms of, you talked about the challenges you are facing right now, so.",
[00:04:28],Mansi," Let me ask you what kind of, you think, what kind of unique perspective, because as you mentioned, you have three, I would say amazing combination. Mm-hmm. But what unique perspective that brings to the table in terms of in the field, in the academia overall. Yeah. Right.",
[00:04:48],Dr. Lu Liu,So I think the one thing that's kind of comforting.,Women in STEM
[00:04:53],Dr. Lu Liu," Is a female student in our department. She's a graduate student. She's from South Korea, so also East Asia. And she told me that she's really glad that I'm here because she hasn't seen many people who look like her in the department, especially in the faculty line. Right? So she's really excited that I'm here and bring new knowledge and a new expertise to the table.",Women in STEM
[00:05:15],Dr. Lu Liu," And she and I actually are hosting a. What we call water resources focus group meetings. Like a monthly meeting. It, it was her idea, but I executed it. So she wanted to have a cohort of water resources students a meeting, month to month and talk about water resources, topics and other things you know, challenges that's graduate students and also maybe like proposal writing skills and et cetera.",Women in STEM
[00:05:36],Dr. Lu Liu," And so I helped her, you know build that out and she, she felt like she finally can find somebody who can. You know, like appreciate her ideas and act actually help her execute it. So her advisor who is amazing, but he's super busy. He, he kind of, he's higher up in the department, so he's has other obligations.",Women in STEM
[00:05:57],Dr. Lu Liu," But you know, me being a junior faculty and also female, she feel like that that's somebody she can rely on and turn to for things like this. Absolutely. So I really feel being valued.",Women in STEM
[00:06:08],Mansi," Yeah. Yeah, absolutely. I have I mean, you are a professor. You did your entire you spent so many years working on your researches and then now you have your PhD and you're working as a faculty member.",
[00:06:22],Mansi,"I am just a graduate assistant, but I do teach undergraduates like, oh, One credit class. Because I'm an assistant, a graduate assistant, and one of the things, because I work in multicultural department, you just mentioned about how that relatable is very necessary, right? Yeah. Like a student needs to be relatable to their faculty and which makes a lot of difference.",Mentorship
[00:06:45],Mansi," I, I totally agree and I. Always, because I'm in College of business and I always look around to see and like find people who look like me, who I can be more open to just because I'm like, Hey, I need help here. Can you? Yeah. Can you guide me? You know, and mentorship is so important. So moving on our direction towards mentorship.",
[00:07:08],Mansi," What is your view on mentorship? How you, if you want to share any story about mentorship in your life role of a mentor in your life, and kind of touch on networking, how important is networking in terms of graduate school and then beyond that?",
[00:07:24],Dr. Lu Liu," So are, so just to clarify, are you talking about how to mentor graduate",
[00:07:30],Mansi,students?,
[00:07:31],Mansi,No. What was the role of mentorship in your life?,
[00:07:34],Dr. Lu Liu," Oh, what was the role of mentorship? Yes. Yeah, I had, so for me, I'm very fortunate. I have amazing mentors throughout my career. So starting from my bachelor's, I. I had this amazing advisor who convinced me to do undergraduate research. So that was very eye-opening for me because I had no idea like how to turn my knowledge into application.",Mentorship
[00:07:59],Dr. Lu Liu," And he kind of helped me see that perspective of the water resources. Field. And then that kind of led into my next stage, which is the master Master's degree, and I pursued my degree with him. So he's the one who kind of, you know, opened the doors for me. And then in my PhD and also my postdoc also had amazing advisors who were extremely supportive of my decisions.",Mentorship
[00:08:22],Dr. Lu Liu," So when I was doing my PhD, I didn't know if I wanna pursue academic career or industry career. And my advisor provided options, you know, opportunities for both options for me to explore. So, you know, he introduced me to these you know his contacts and see if there are any possible internship or collaboration opportunities for me.",Mentorship
[00:08:41],Dr. Lu Liu," So that was extremely. Helpful especially for somebody who came from another country who were not, who didn't have any connections here. Right. So so I, I think you know mentorship to me is one of the reasons why I ended up in I S U here today.",Mentorship
