timestamp,speaker,words,tags
[00:00:00],Mansi," So Dr. Ikhoma, thank you so much for joining us today. And thank you again for signing up for the project by Tracing Race. It's an initiative by library, ISU library, and the purpose of the project is going to be highlighting the experiences and contribution by female faculties across ISU campus. So, to just get started with, we would love to know more about your background, your journey so far in your field.",
[00:00:27],Dr. Ikuma," So my name is Kari Kuma. I am an associate professor in environmental engineering here at Iowa State. I actually was born in Japan, so I was born and raised in Japan, except for four years of my childhood when. My family was in the United States. So then we went back with their college. I went through high school and then realized that for college.",Background
[00:00:51],Dr. Ikuma," I wanted to come back to the United States. To the U. S. So I've been in the U. S. for, uh, I probably shouldn't say how many years because that'll tell, that'll be, that'll make my, my age obvious, but anyway, for a number of years now. So I went through my education, most of my higher education in the U. S., I think.",Background
[00:01:08],Dr. Ikuma," So there's been, you know, multiple steps along the way where I had to decide what I wanted to do. I actually, I am in engineering right now, but I am not an engineer. by training. I am a biologist by training. I actually did biology and biochemistry for my undergraduate degrees, and then switched over to engineering, which is pretty rare.",Background
[00:01:29],Dr. Ikuma," I mean, you do see it, but it's rare. It makes it a little bit harder, and you get We'll talk about it later, but you can get more criticism from others about that. I made the switch from biology to engineering to environmental engineering, especially because I've always been interested in environmental things, but in particular, I realized as I was taking classes how important biology is to anything we do in the environment, of course, the human body and all those things too, but in particular within biology.",Background
[00:02:04],Dr. Ikuma," It's microbiology, the bacteria and the little stuff we can't see is really the powerhouse, everything, all the processes that happen in nature and a lot of processes that clean up things for us within environmental engineering. So that's how I Decided to switch fields, and then of course, you know, the typical story of I didn't really know what I wanted to do within environmental engineering.",Environment
[00:02:30],Dr. Ikuma," I tried it out. I then, as I was doing my master's degree, I realized I really enjoyed research. So finding new things and making those discoveries and then really, you know, getting down to the nitty gritty details was something that I really enjoyed. So that made me want to do a PhD. I switched institutions for my PhD, but then, you know, research as a career means a lot of potential different paths.",Environment
[00:03:01],Dr. Ikuma," And then, so I was trying to think about that during my PhD, what I realized about more than halfway through was that, yes, I liked research, but more than research, I actually really enjoyed mentoring and having mentoring relationships with people. So that culminated into me realizing that academia was probably correct as a correct or suitable, there you go, suitable for me.",Environment
[00:03:29],Dr. Ikuma," So then it went on to do. Postdocs, two postdocs to just get more experience and branch out my research areas and then ultimately came here to Iowa State. So I came here in 2015. I've been here, this is my eighth year. Wow. I'm finishing up my eighth year. I got tenure last year and have been doing a lot of things on the teaching front and the research front and having a lot of fun.",Iowa State University
[00:03:58],Mansi," Oh, wow. That was a story. Well, so you just mentioned like how you switched your entire gears towards engineering. So what on the first place actually motivated you to be in this field? If you want to look like",
