timestamp,speaker,words,tags
[00:00:00],Mansi," So thank you so much Anisha for joining us today. Just to get started with the interview, if you would like to share your journey so far with us. Mm-hmm. How did you come into the field of physics?",
[00:00:11],Mansi," I believe that's your field, right? Yeah, yeah, yeah. So like to start",
[00:00:14],Professor Anwesha Sarkar," with that. So like, you know I'm from India and stem like, you know, from very early childhood. We, I'm like, you know, I was interested in STEM and my mom was a teacher of math. So like, you know, I didn't have any tutor or anything.",Background
[00:00:31],Professor Anwesha Sarkar," I. Saw her like, you know, tutoring students like who are falling behind in class after class. Like, and she was always busy with helping kids who are struggling. So that was post influence and that's the biggest influence. In terms of getting into stem. I was always interested. Physics always interested me.",Background
[00:00:50],Professor Anwesha Sarkar," Like, and I always studied in institutions where it's nineties to one ratio of male and female students as like I got into graduate level, postgraduate level, all those things. And I went to CVI College in Calita to do my bachelor's in physics. I went to, I address after that for my MS in physics.",Background
[00:01:11],Professor Anwesha Sarkar," And actually I joined I Institute of Physics in India in gu. To start my PhD and I went through their first year of program while I was applying here to, to some colleges, and I did their first year program of infill in physics. So yeah, it always interested me. Biggest influence is my of course my mother.",Background
[00:01:30],Professor Anwesha Sarkar," I. Like seeing her in stem and like, you know, how many lines you can change how many people you can help. Of course, like, you know, perception of women in stem is not that good. And all her lines, she tried to help students around her and I kind of picked up from that. I wanted to follow that lead.",Background; Women in STEM
[00:01:50],Professor Anwesha Sarkar," And in terms of, I. Or in chemistry like, you know, and physics is always like, you know, it felt very easy to me. So that's obviously was like, you know, I got admitted to an engineering college. I took my application back and went back and went got admitted to college where like, you know, 2 cent years where I can study physics.",Background; Women in STEM
[00:02:12],Professor Anwesha Sarkar," So that happened and it was kind of clear for me. There was no. No other choice really. I loved biology, but it never no. And I still like, you know, I collaborate with it because we work in the bioengineering and biophysics section right now. I collaborate love collaborating with a lot of biology faculties and learn from them.",Background; Women in STEM
[00:02:31],Professor Anwesha Sarkar," But yeah, physics is, was always my first choice and it kind of clicked. Yeah. Yeah,",Background; Women in STEM
[00:02:37],Mansi,absolutely. I think mechanical engineering and physics that are the two areas where I don't see that many of of female candidates coming out of. Mm-hmm. Yeah. So it's very interesting that you were from the get go into physics.,
[00:02:50],Mansi," Yeah. Yeah. Yeah. So thank you for sharing that. Can you tell once you came to United States mm-hmm. Started your higher education, what was that journey",
like?,,,
[00:03:01],Professor Anwesha Sarkar," Yeah, so I did my like, you know, PhD from Wayne State University in physics. Yeah. And like, you know, there, like, you know, I taught so I was a TA during my four and a half years of graduate study and I taught a lot of courses, a lot of labs.",Background; Women in STEM
[00:03:16],Professor Anwesha Sarkar," I love teaching. So like I love teaching from the get go. So even like in Institute of Physics, I try to help teachers like, you know, take, take classes to assist classes. I love interacting with students. So yeah, it was a lot because like, you know, the lab I joined. And during my graduate study was an experimental lab, and it was at only force microscope.",Background; Women in STEM
[00:03:36],Professor Anwesha Sarkar," It's not a turnkey thing, so it takes actually seven to eight to nine hours at a stretch for the student to actively participate in the experiment. Like, you know so it was it was a lot like, you know, doing. Like teaching that many courses, being an experimental lab. And so all those things were going on at the same point.",Background; Women in STEM
[00:03:57],Professor Anwesha Sarkar," And I did my postdoc after that in I s U physics department. And then I actually, I. Was an adjunct assistant professor in in my department, E C p, electrical and computer Engineering for two years, from 2020 fall to 2022. And during 2021, I applied for being instead of adjunct assistant professor.",Background; Women in STEM
[00:04:19],Professor Anwesha Sarkar," I applied for being an assistant professor. And from 2022 falls, which is like last August, I became an assistant professor. So that's kind of after that journey.",Background; Women in STEM
[00:04:29],Mansi," Yeah. Okay. Yeah. Yeah. No, thank you so much for sharing that. In terms of, you shared your mother was one of the most influential person mm-hmm.",
[00:04:37],Mansi," In terms of being in stem. Yeah. And you had a quite a long journey in terms of where you different experiences with different universities back in India here. Was there any particular thing, I know you mentioned that there was always like this nine to one ratio of being a woman, but then once you came here in terms of higher education, was there, was there some kind of reservations when you are like Asian, but also female in a field which is predominantly dominated by",
[00:05:09],Professor Anwesha Sarkar," Yeah. So kind of I told you like my entire journey, so, right. Like I, like, you know, starting from bachelor's to now I've been in physics and then bioengineering and all those things, so yeah, absolutely. Like, you know, there are. The perception of women in STEM is not what we want it to be.",Challenges
[00:05:27],Professor Anwesha Sarkar," There are situation where like, you know, I saw like like, you know, my colleagues, I, I'm not like, you know, my colleagues were very good and supportive. Like when even I, when I'm applying here my friends were like very good, luckily, and but yeah, there are situations where I saw because of the number of like, you know, female students coming to STEM are low.",Challenges
[00:05:50],Professor Anwesha Sarkar," I don't know. It's like, you know what? Build that perception. But you know, women are as good as men in stem, but unfortunately, I have seen situations where I saw faculty members like, you know, throughout this entire journey, I've seen faculty members saying, look, okay, like, you know, not to the student, but yeah, behind their back that, okay, I am tired, that female student because I ran an experimental lab and I'm, I'm gonna push her and she's not gonna produce Expected result that I want.",Challenges
[00:06:20],Professor Anwesha Sarkar," I have also seen faculty members like, you know, promoting male students or like, you know, emphasis on putting like a lot of emphasis on their work where they cannot even talk or write a paper or do their work appropriately. While a female student is doing all she can and actively, like, that faculty member is actively acting to suppress that work.",Challenges; Women in STEM
[00:06:42],Professor Anwesha Sarkar," I have seen the rainbow of experiences. So because I have been like in academia for a long, long time, so, yeah. But yeah it doesn't, at the end of the day, it doesn't matter like, you know, Male or female member. It's just the perception. And it doesn't depend on like in any country or class or creed or religion, nothing.",Challenges; Women in STEM
[00:07:04],Professor Anwesha Sarkar," It just depends on that particular family. What I understood at the end of my journey, it depends on that particular family, that person is coming from. Like what was taught in that family. Yeah. Like was like, you know whatever. It was told that you can do whatever you want to both men and women and how women were perceived in that particular family.",Challenges
[00:07:26],Professor Anwesha Sarkar," It doesn't depend on your country. It doesn't depend on how rich or poor you are. But it doesn't depend on anything else. So, yeah, that was very clear. So it's just Sarah, like, you know, if you are lucky enough to get those kind of friends or people who see like, you know, good in you who won't ne will never stand in your way and always like, you know, add value to your journey, you know, put some effort to maintain those people because you know in your journey as she and woman in stem, he will need those people.",Challenges
[00:07:58],Professor Anwesha Sarkar,Yeah.,
[00:07:59],Mansi," Absolutely. Totally. I totally agree because I feel like mm-hmm. Often I, when I talk to people from different countries or anything mm-hmm. It's, mm-hmm. It's the same issue. It's not like Yeah. For a particular, as you mentioned, yeah. Country or a particular region or something like that. Mm-hmm. While you did mention that you have been in academia for a long time now.",
[00:08:19],Mansi," Mm-hmm. Have you, have you seen changes taking place, particularly around a woman in",
